Store,Weekly_Sales,Type,Size
1,222402808.85,A,151315
2,275382440.98,A,202307
3,57586735.07,B,37392
4,299543953.38,A,205863
5,45475688.9,B,34875
6,223756130.64,A,202505
7,81598275.14,B,70713
8,129951181.13,A,155078
9,77789218.99,B,125833
10,271617713.89,B,126512
11,193962786.8,A,207499
12,144287230.15,B,112238
13,286517703.8,A,219622
14,288999911.34,A,200898
15,89133683.92,B,123737
16,74252425.4,B,57197
17,127782138.83,B,93188
18,155114734.21,B,120653
19,206634862.1,A,203819
20,301397792.46,A,203742
21,108117878.92,B,140167
22,147075648.57,B,119557
23,198750617.85,B,114533
24,194016021.28,A,203819
25,101061179.17,B,128107
26,143416393.79,A,152513
27,253855916.88,A,204184
28,189263680.58,A,206302
29,77141554.31,B,93638
30,62716885.12,C,42988
31,199613905.5,A,203750
32,166819246.16,A,203007
33,37160221.96,A,39690
34,138249763.0,A,158114
35,131520672.08,B,103681
36,53412214.97,A,39910
37,74202740.32,C,39910
38,55159626.42,C,39690
39,207445542.47,A,184109
40,137870309.79,A,155083
41,181341934.89,A,196321
42,79565752.43,C,39690
43,90565435.41,C,41062
44,43293087.84,C,39910
45,112395341.42,B,118221
